Longitude,Latitude,Name,Location,City,State,Zip,Phone,Fax,Location,Lat Long
-88.3336,30.4985,TA Mobile,"I-10, Exit 4 (Wilmer Road, South)",Grand Bay,AL,36541,251-865-6175,251-865-3278,"Grand Bay, AL","30.4985, -88.3336"
-86.3322,32.3278,TA Montgomery,"I-65, Exit 168 (W. South Blvd.)",Montgomery,AL,36105-3021,334-288-3700,334-281-6462,"Montgomery, AL","32.3278, -86.3322"
-87.4462,33.1759,TA Tuscaloosa,"I-20/1-59, Exit 77 (Buttermilk Rd.)",Tuscaloosa,AL,35453-9364,205-554-0215,205-553-5337,"Tuscaloosa, AL","33.1759, -87.4462"
-93.427,33.8112,TA Prescott,"I-30, Exit 44 (US Hwy 371)",Prescott,AR,71857,870-887-8900,870-887-8929,"Prescott, AR","33.8112, -93.427"
