Access Billing Services,,,,,,,,,,,,,,,,,,,,,,,,,
"TA / PETRO PRICING WORKSHEET, For: TRANSPORTATION STAFFING SER Effective Date: 03/02/2015",,,,,,,,,,,,,,,,,,,,,,,,,
* Reflects Deal Change in last 45 Calendar Days,,,,,,,,,,,,,,,,,,,,,,,,,
***RETAIL PRICES ARE SUBJECT TO CHANGE AT ANY TIME***,,,,,,,,,,,,,,,,,,,,,,,,,
Number of deals that changed: 1,,,,,  INDEXED BASE PRICING (IBP) COMPONENTS  ,,,,,,,,,,,,,,,Retail Less @05:37 AM,,,,,
Loc,Loc,,,Third Party,Price-Based Rack,Opis,Product,* Deal Chg,Deal Eff.,,,Fed.,State,Sales,State,Other,Additive,IBP,IBP,Retail,Retail,Retail,Fuel,Savings,Bulk DEF
Type,#,Travel Center,ST,Merchant ID,(City/State),Rack ID,Dispensed,,Date,Index,Freight,Tax,Tax,Tax,UST,Tax,/ CAR Fee,Adjustment,Fuel Price,Price,Factor,Fuel Price,Price,Total,Price
CORP,6239,TA WHEELER RIDGE              ,CA,CA829     ,"BAKERSFIELD, CA               ",858,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.1804,0.0337,0.244,0.11,0.2415,0.02,0.0019,0.1211,0.01,2.9626,3.219,-0.07,3.149,2.963,,2.849
CORP,6227,TA BARSTOW                    ,CA,CA226     ,"BARSTOW, CA                   ",860,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.0424,0.0285,0.244,0.11,0.2396,0.02,0.0019,0.1211,0,2.8075,3.199,-0.05,3.149,2.808,,2.849
CORP,429,TA BUTTONWILLOW               ,CA,CA015     ,"BAKERSFIELD, CA               ",858,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.1804,0.0433,0.244,0.11,0.2424,0.02,0.0019,0.1211,0.01,2.9731,3.219,-0.11,3.109,2.973,,2.849
CORP,429,TA BUTTONWILLOW               ,CA,CA064     ,"BAKERSFIELD, CA               ",858,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.1804,0.0433,0.244,0.11,0.2424,0.02,0.0019,0.1211,0.01,2.9731,3.219,-0.11,3.109,2.973,,2.849
CORP,5050,TA COACHELLA                  ,CA,CA502     ,"COLTON,CA                     ",870,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.0519,0.0708,0.244,0.11,0.2457,0.02,0.0019,0.1211,0.01,2.8754,3.219,-0.09,3.129,2.875,,2.849
CORP,5051,TA CORNING                    ,CA,CA035     ,"CHICO, CA                     ",866,DIESEL CARB ULTRA LOW SULFUR  ,,2/18/2011,2.1225,0.028,0.244,0.11,0.2356,0.02,0.0019,0.1211,0.01,2.8931,3.199,-0.05,3.149,2.893,,2.849
CORP,6309,PETRO CORNING                 ,CA,CA519     ,"CHICO, CA                     ",866,DIESEL CARB ULTRA LOW SULFUR  ,,8/2/2012,2.1225,0.0289,0.244,0.11,0.2385,0.02,0.0019,0.1211,0.04,2.9269,3.199,-0.02,3.179,2.927,,2.849
CORP,6327,PETRO WHEELER RIDGE           ,CA,CA930     ,"BAKERSFIELD, CA               ",858,DIESEL CARB ULTRA LOW SULFUR  ,,8/2/2012,2.1804,0.0346,0.244,0.11,0.2444,0.02,0.0019,0.1211,0.04,2.9964,3.219,-0.04,3.179,2.996,,2.849
CORP,6170,TA LIVINGSTON                 ,CA,CA246     ,STOCKTON CA                   ,975,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.1181,0.0513,0.244,0.11,0.2374,0.02,0.0019,0.1211,0.01,2.9138,3.199,-0.06,3.139,2.914,,2.849
CORP,417,TA ONTARIO WEST               ,CA,CA172     ,"COLTON,CA                     ",870,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.0519,0.0475,0.244,0.11,0.2424,0.02,0.0019,0.1211,0,2.8388,3.219,-0.1,3.119,2.839,,2.849
